                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63073,                 0.7083,                0.96583,                0.92045,                 0.9203,                0.95043,                0.77654,                0.73506,                0.76325,                0.95733,             0.00038375,             0.00038375,             0.00038375
                     37,                0.61275,                0.68141,                0.95664,                0.91175,                0.91875,                0.94926,                0.76397,                0.74912,                0.77339,                0.96638,               0.000359,               0.000359,               0.000359
                     38,                0.59619,                0.70865,                0.96871,                0.90672,                 0.9252,                 0.9475,                0.76593,                0.75395,                0.76275,                0.96823,             0.00033425,             0.00033425,             0.00033425
                     39,                0.55423,                 0.6641,                0.95947,                0.92056,                0.93933,                0.95871,                0.77889,                0.70913,                0.72866,                0.95152,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.5981,                0.65658,                0.94876,                0.91984,                0.91881,                0.96056,                0.78684,                 0.7199,                0.74439,                0.96439,             0.00028475,             0.00028475,             0.00028475
                     41,                0.55573,                0.86696,                0.92457,                0.92229,                0.93119,                 0.9619,                0.77915,                0.71824,                0.71509,                0.94825,                0.00026,                0.00026,                0.00026
                     42,                0.52077,                0.81368,                0.89109,                0.89616,                0.95091,                 0.9588,                0.78575,                0.72008,                0.72372,                0.95016,             0.00023525,             0.00023525,             0.00023525
                     43,                0.51534,                0.76628,                0.90164,                0.92639,                0.93193,                0.95744,                0.79101,                0.75903,                 0.7879,                0.98016,              0.0002105,              0.0002105,              0.0002105
                     44,                0.54084,                0.78903,                0.90715,                0.93239,                0.92486,                0.95415,                0.79042,                 0.7421,                0.80602,                0.98083,             0.00018575,             0.00018575,             0.00018575
                     45,                0.53664,                 0.7882,                0.92922,                0.92064,                0.94091,                0.95582,                0.78512,                0.72633,                  0.799,                0.97442,               0.000161,               0.000161,               0.000161
                     46,                0.50639,                0.73462,                0.88358,                0.94054,                0.91505,                0.95626,                0.80062,                0.71036,                0.76566,                0.96675,             0.00013625,             0.00013625,             0.00013625
                     47,                0.52979,                0.73808,                0.90178,                0.90776,                0.94262,                0.95714,                0.80856,                0.69836,                0.71661,                0.95319,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.4945,                 0.7199,                 0.9038,                0.91101,                0.95198,                0.96076,                0.80761,                0.70081,                0.70875,                0.95305,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.49844,                0.69659,                0.88152,                 0.9089,                0.94162,                0.96109,                 0.8006,                0.71731,                0.70739,                0.96663,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.50101,                0.70434,                0.89964,                0.90689,                 0.9313,                0.95944,                 0.8016,                0.71585,                 0.7079,                 0.9655,              3.725e-05,              3.725e-05,              3.725e-05
